,date,value,buySell
0,1986-01-02,4.0,-1
1,1986-01-03,4.0,0
2,1986-01-06,4.0,0
3,1986-01-06,4.62,0
4,1986-01-07,3.99,0
5,1986-01-08,4.0,0
6,1986-01-09,4.0,0
7,1986-01-10,4.0,0
8,1986-01-13,3.99,0
9,1986-01-14,3.9,0
10,1986-01-15,3.85,0
11,1986-01-15,3.4,0
12,1986-01-16,3.0,1
13,1986-01-17,3.0,-1
14,1986-01-17,3.52,1
15,1986-01-21,3.2,-1
16,1986-01-22,3.3,1
17,1986-01-23,3.4,-1
18,1986-01-24,3.3,1
19,1986-01-27,3.3,-1
20,1986-01-29,3.0,1
21,1986-01-30,3.0,-1
22,1986-01-31,3.0,1
23,1986-02-03,3.1,-1
24,1986-02-04,3.3,1
25,1986-02-05,3.4,-1
26,1986-02-06,3.5,1
27,1986-02-07,3.8,-1
28,1986-02-13,3.8,0
29,1986-02-14,3.8,0
30,1986-02-17,3.8,0
31,1986-02-18,4.0,0
32,1986-02-19,3.8,0
33,1986-02-20,4.0,0
34,1986-02-21,4.03,0
35,1986-02-24,4.2,0
36,1986-02-25,4.6,0
37,1986-02-25,5.27,0
38,1986-02-26,5.0,0
39,1986-02-27,5.6,0
40,1986-03-04,6.2,0
41,1986-03-05,6.3,0
42,1986-03-06,6.2,0
43,1986-03-07,6.1,0
44,1986-03-07,6.07,0
45,1986-03-10,6.0,0
46,1986-03-11,5.89,0
47,1986-03-12,5.8,0
48,1986-03-13,5.8,0
49,1986-03-14,6.0,0
50,1986-03-17,6.1,0
51,1986-03-18,6.0,0
52,1986-03-19,6.85,0
53,1986-03-19,7.31,0
54,1986-03-20,7.5,0
55,1986-03-20,7.73,0
56,1986-03-21,8.0,0
57,1986-03-21,8.76,0
58,1986-03-24,9.0,0
59,1986-03-24,9.25,0
60,1986-03-25,11.5,0
61,1986-03-25,10.82,0
62,1986-03-26,12.0,0
63,1986-03-26,12.36,0
64,1986-03-31,13.0,0
65,1986-03-31,13.46,0
66,1986-04-01,13.0,0
67,1986-04-02,11.5,0
68,1986-04-02,10.28,0
69,1986-04-03,10.8,0
70,1986-04-04,11.5,0
71,1986-04-07,13.0,0
72,1986-04-07,13.19,0
73,1986-04-08,13.0,0
74,1986-04-09,12.0,0
75,1986-04-09,12.36,0
76,1986-04-10,12.0,0
77,1986-04-11,11.5,1
78,1986-04-11,13.2,-1
79,1986-04-14,13.0,0
80,1986-04-14,15.53,0
81,1986-04-15,15.0,0
82,1986-04-15,14.42,0
83,1986-04-16,13.0,0
84,1986-04-16,12.9,0
85,1986-04-17,12.0,1
86,1986-04-18,12.0,-1
87,1986-04-18,12.94,1
88,1986-04-22,14.5,0
89,1986-04-22,14.49,0
90,1986-04-23,14.0,0
91,1986-04-23,12.42,0
92,1986-04-24,12.0,-1
93,1986-04-24,13.46,1
94,1986-04-25,14.0,0
95,1986-04-25,12.94,0
96,1986-04-28,14.0,0
97,1986-04-28,11.91,0
98,1986-04-29,12.0,-1
99,1986-04-30,12.0,1
100,1986-05-02,12.0,-1
101,1986-05-02,12.41,1
102,1986-05-08,6.0,-1
103,1986-05-09,6.5,1
104,1986-05-09,6.7,-1
105,1986-05-12,5.5,1
106,1986-05-13,3.8,-1
107,1986-05-13,4.12,1
108,1986-05-14,4.5,-1
109,1986-05-14,4.63,1
110,1986-05-15,4.48,-1
111,1986-05-16,4.4,1
112,1986-05-16,4.66,-1
113,1986-05-19,4.2,1
114,1986-05-19,4.33,-1
115,1986-05-20,4.0,1
116,1986-05-21,4.5,-1
117,1986-05-21,4.43,1
118,1986-05-22,4.0,-1
119,1986-05-22,4.1,1
120,1986-05-23,4.5,-1
121,1986-05-27,4.5,1
122,1986-05-28,4.2,-1
123,1986-05-29,4.15,1
124,1986-05-30,3.89,-1
125,1986-06-02,4.0,1
126,1986-06-02,3.99,-1
127,1986-06-03,4.1,1
128,1986-06-04,3.7,-1
129,1986-06-05,3.6,1
130,1986-06-06,3.6,-1
131,1986-06-09,3.9,1
132,1986-06-09,3.99,-1
133,1986-06-10,4.0,1
134,1986-06-11,3.5,-1
135,1986-06-11,3.58,1
136,1986-06-12,3.1,-1
137,1986-06-13,3.3,1
138,1986-06-16,3.0,-1
139,1986-06-17,3.3,1
140,1986-06-17,3.39,-1
141,1986-06-18,3.4,1
142,1986-06-18,3.28,-1
143,1986-06-19,3.2,1
144,1986-06-20,3.3,-1
145,1986-06-23,3.4,1
146,1986-06-24,3.3,-1
147,1986-06-24,3.38,1
148,1986-06-25,3.3,-1
149,1986-06-25,3.77,1
150,1986-06-26,3.7,-1
151,1986-06-27,3.7,1
152,1986-07-01,3.5,-1
153,1986-07-02,3.5,1
154,1986-07-03,3.7,-1
155,1986-07-03,3.69,0
156,1986-07-04,3.7,0
157,1986-07-04,3.79,0
158,1986-07-04,3.91,0
159,1986-07-04,1.85,0
160,1986-07-07,3.7,0
161,1986-07-08,3.85,0
162,1986-07-09,4.2,0
163,1986-07-10,4.5,0
164,1986-07-10,4.91,0
165,1986-07-10,4.78,0
166,1986-07-10,2.25,0
167,1986-07-11,5.0,0
168,1986-07-11,5.38,0
169,1986-07-11,5.8,0
170,1986-07-11,1.0,0
171,1986-07-14,6.0,0
172,1986-07-14,6.32,0
173,1986-07-15,6.0,0
174,1986-07-15,6.15,0
175,1986-07-16,6.0,0
176,1986-07-17,5.8,0
177,1986-07-18,5.5,0
178,1986-07-18,5.33,0
179,1986-07-21,5.3,0
180,1986-07-22,5.3,0
181,1986-07-23,5.2,1
182,1986-07-24,5.31,0
183,1986-07-24,2.5,0
184,1986-07-25,5.0,0
185,1986-07-28,5.0,0
186,1986-07-29,4.99,0
187,1986-07-29,2.4,0
188,1986-07-30,4.8,0
189,1986-07-30,4.92,0
190,1986-07-30,5.08,0
191,1986-07-31,4.7,-1
192,1986-07-31,4.82,1
193,1986-08-01,4.5,-1
194,1986-08-01,4.71,1
195,1986-08-01,4.8,-1
196,1986-08-04,4.8,1
197,1986-08-05,4.75,-1
198,1986-08-05,4.86,1
199,1986-08-06,4.7,-1
200,1986-08-07,4.5,1
201,1986-08-07,4.84,-1
202,1986-08-07,4.73,1
203,1986-08-08,4.5,-1
204,1986-08-08,4.45,1
205,1986-08-11,4.2,-1
206,1986-08-11,4.71,1
207,1986-08-12,4.5,-1
208,1986-08-12,4.63,1
209,1986-08-13,4.4,-1
210,1986-08-14,4.1,1
211,1986-08-15,4.1,-1
212,1986-08-18,4.0,1
213,1986-08-18,4.11,-1
214,1986-08-18,4.33,1
215,1986-08-19,4.01,-1
216,1986-08-20,3.99,1
217,1986-08-21,3.89,-1
218,1986-08-22,3.9,1
219,1986-08-22,3.89,-1
220,1986-08-25,3.7,1
221,1986-08-25,3.61,-1
222,1986-08-25,3.7,1
223,1986-08-26,3.5,-1
224,1986-08-26,3.9,1
225,1986-08-26,4.28,-1
226,1986-08-26,1.75,1
227,1986-08-27,3.7,-1
228,1986-08-27,1.85,1
229,1986-08-28,3.7,-1
230,1986-08-28,3.84,1
231,1986-08-29,3.7,-1
232,1986-09-01,3.8,1
233,1986-09-01,3.8,-1
234,1986-09-01,3.94,1
235,1986-09-02,3.8,-1
236,1986-09-03,3.79,1
237,1986-09-04,3.7,-1
238,1986-09-05,3.7,1
239,1986-09-05,3.8,-1
240,1986-09-08,3.7,1
241,1986-09-09,3.4,-1
242,1986-09-10,3.5,1
243,1986-09-10,3.79,-1
244,1986-09-11,3.5,1
245,1986-09-12,3.71,-1
246,1986-09-15,3.5,1
247,1986-09-15,3.82,-1
248,1986-09-17,3.68,1
249,1986-09-17,3.79,-1
250,1986-09-18,3.49,1
251,1986-09-18,3.57,-1
252,1986-09-18,3.7,1
253,1986-09-19,2.8,-1
254,1986-09-22,2.5,1
255,1986-09-22,2.6,-1
256,1986-09-23,3.0,1
257,1986-09-24,2.6,-1
258,1986-09-25,2.59,1
259,1986-09-26,3.0,-1
260,1986-09-29,3.0,1
261,1986-09-29,2.78,-1
262,1986-09-30,2.6,1
263,1986-10-01,2.6,-1
264,1986-10-02,2.65,1
265,1986-10-03,2.7,-1
266,1986-10-03,2.77,1
267,1986-10-03,1.2,-1
268,1986-10-06,2.65,1
269,1986-10-07,2.7,-1
270,1986-10-07,1.0,1
271,1986-10-08,2.8,-1
272,1986-10-08,2.98,1
273,1986-10-09,2.9,-1
274,1986-10-10,2.9,1
275,1986-10-10,3.08,-1
276,1986-10-10,1.25,1
277,1986-10-13,2.5,-1
278,1986-10-14,2.3,1
279,1986-10-14,1.0,-1
280,1986-10-15,2.3,1
281,1986-10-16,2.31,-1
282,1986-10-17,2.6,1
283,1986-10-20,2.5,-1
284,1986-10-21,2.7,1
285,1986-10-22,2.8,-1
286,1986-10-23,2.6,1
287,1986-10-24,2.55,-1
288,1986-10-24,2.71,1
289,1986-10-27,3.5,0
290,1986-10-27,4.11,0
291,1986-10-27,4.27,0
292,1986-10-28,3.97,0
293,1986-10-30,3.9,0
294,1986-10-31,3.9,0
295,1986-11-03,3.5,0
296,1986-11-04,3.4,0
297,1986-11-05,3.4,0
298,1986-11-07,3.4,0
299,1986-11-11,2.5,-1
300,1986-11-12,2.5,1
301,1986-11-12,1.0,-1
302,1986-11-13,2.55,1
303,1986-11-13,1.3,-1
304,1986-11-14,2.6,1
305,1986-11-14,1.8,-1
306,1986-11-17,2.6,1
307,1986-11-19,2.59,-1
308,1986-11-19,2.69,1
309,1986-11-21,2.6,-1
310,1986-11-21,2.86,1
311,1986-11-24,2.6,-1
312,1986-11-26,2.6,1
313,1986-11-28,2.6,-1
314,1986-12-01,2.5,1
315,1986-12-01,2.7,-1
316,1986-12-01,1.2,1
317,1986-12-02,1.99,-1
318,1986-12-02,2.32,1
319,1986-12-03,2.0,-1
320,1986-12-04,1.91,1
321,1986-12-04,0.95,-1
322,1986-12-05,1.9,1
323,1986-12-09,1.75,-1
324,1986-12-10,1.69,1
325,1986-12-11,1.64,-1
326,1986-12-15,1.55,1
327,1986-12-16,1.55,-1
328,1986-12-16,1.83,1
329,1986-12-17,1.55,-1
330,1986-12-18,1.6,1
331,1986-12-19,1.6,-1
332,1986-12-22,1.6,1
333,1986-12-23,1.6,-1
334,1986-12-29,1.9,0
335,1986-12-30,2.91,0
336,1987-01-05,2.91,0
337,1987-01-13,2.9,0
338,1987-01-13,3.25,0
339,1987-01-14,2.9,0
340,1987-01-14,1.45,0
341,1987-01-16,2.6,0
342,1987-01-20,1.8,0
343,1987-01-22,1.4,1
344,1987-01-23,1.39,-1
345,1987-01-26,1.4,1
346,1987-01-26,1.6,-1
347,1987-01-28,1.45,0
348,1987-01-29,1.45,0
349,1987-02-03,1.35,1
350,1987-02-03,1.35,-1
351,1987-02-05,1.3,1
352,1987-02-05,1.47,-1
353,1987-02-06,1.29,1
354,1987-02-09,1.35,-1
355,1987-02-09,0.6,1
356,1987-02-10,1.35,-1
357,1987-02-16,0.7,1
358,1987-02-17,0.71,-1
359,1987-02-18,0.75,1
360,1987-02-19,0.75,-1
361,1987-02-20,0.75,1
362,1987-02-23,0.75,-1
363,1987-02-25,0.76,1
364,1987-02-25,0.87,1
